id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
74482695,1803564076,7029708308,147.56776598422505,1,3,3,2,2,"LINESTRING(124.2288673 13.5822477, 124.2290918 13.5825274, 124.2297238 13.5832792)"
74482695,7029708308,1803564145,245.1504060844856,1,3,3,2,2,"LINESTRING(124.2297238 13.5832792, 124.2311674 13.5849765)"
74482695,1803564145,880107328,202.7286063391951,1,3,3,2,2,"LINESTRING(124.2311674 13.5849765, 124.2323461 13.5863921)"
74482695,880107328,7082433740,64.60773055177374,1,3,3,2,2,"LINESTRING(124.2323461 13.5863921, 124.2327209 13.5868439)"
74482695,7082433740,880107334,89.30189245916888,1,3,3,2,2,"LINESTRING(124.2327209 13.5868439, 124.2327856 13.5869219, 124.2328733 13.5870109, 124.2329634 13.5871002, 124.2330189 13.5871639, 124.2330740 13.5872089, 124.2331490 13.5872760, 124.2332181 13.5873313, 124.2333081 13.5874047)"
74482695,880107334,880107337,90.63086107241857,1,3,3,2,2,"LINESTRING(124.2333081 13.5874047, 124.2336492 13.5876150, 124.2338544 13.5877388, 124.2339443 13.5877909, 124.2340285 13.5878140)"
74482695,880107337,6011386286,9.331926940870295,1,3,3,2,2,"LINESTRING(124.2340285 13.5878140, 124.2340665 13.5878175, 124.2340899 13.5878123, 124.2341129 13.5878054)"
74482707,880109679,880362172,103.82712815250964,1,4,4,2,2,"LINESTRING(124.3033324 13.9076369, 124.3023798 13.9077590)"
74482707,880362172,7025128010,99.47924372967837,1,4,4,2,2,"LINESTRING(124.3023798 13.9077590, 124.3014628 13.9078383)"
74482707,7025128010,7025977416,29.721459489169188,1,4,4,2,2,"LINESTRING(124.3014628 13.9078383, 124.3011908 13.9078780)"
74482707,7025977416,7025977464,25.900019503585753,1,4,4,2,2,"LINESTRING(124.3011908 13.9078780, 124.3009519 13.9078969)"
74482707,7025977464,880109694,14.858315442574504,1,4,4,2,2,"LINESTRING(124.3009519 13.9078969, 124.3008144 13.9078982)"
74482707,880109694,7704684667,34.2625110584257,1,4,4,2,2,"LINESTRING(124.3008144 13.9078982, 124.3004976 13.9078852)"
74482707,7704684667,880110035,20.839447661004026,1,4,4,2,2,"LINESTRING(124.3004976 13.9078852, 124.3003049 13.9078776)"
74482709,4555689345,4555689308,22.52597766732636,1,4,4,2,2,"LINESTRING(124.2107357 13.5820885, 124.2109037 13.5819690)"
74482709,4555689308,4555689311,34.24291889342531,1,4,4,2,2,"LINESTRING(124.2109037 13.5819690, 124.2110948 13.5818329, 124.2111614 13.5817906)"
74482709,4555689311,4555688574,58.074544370453594,1,4,4,2,2,"LINESTRING(124.2111614 13.5817906, 124.2113747 13.5816792, 124.2116421 13.5815591)"
74482709,4555688574,880107281,38.3912039673668,1,4,4,2,2,"LINESTRING(124.2116421 13.5815591, 124.2119859 13.5814739)"
74482709,880107281,880107283,94.63138912837285,1,4,4,2,2,"LINESTRING(124.2119859 13.5814739, 124.2128357 13.5812731)"
169193892,707044899,2498151173,28.859877445293552,1,4,4,2,2,"LINESTRING(124.2291857 13.5789194, 124.2289369 13.5790128)"
169193893,707044890,707044893,47.61649740463237,1,4,0,2,0,"LINESTRING(124.2301335 13.5785129, 124.2297289 13.5786811)"
169193893,707044893,7029708301,49.26165809215166,1,4,0,2,0,"LINESTRING(124.2297289 13.5786811, 124.2293137 13.5788626)"
169193893,7029708301,6011291554,7.029370627045326,1,4,0,2,0,"LINESTRING(124.2293137 13.5788626, 124.2292545 13.5788886)"
169193896,707044882,6011385278,85.2252286043013,1,4,4,2,2,"LINESTRING(124.2362367 13.5850921, 124.2369228 13.5854681)"
169193896,6011385278,1803564160,86.58830401717745,1,4,4,2,2,"LINESTRING(124.2369228 13.5854681, 124.2376055 13.5858739)"
169193896,1803564160,1803564168,100.36042056826636,1,4,4,2,2,"LINESTRING(124.2376055 13.5858739, 124.2380038 13.5861132, 124.2382210 13.5862475, 124.2383880 13.5863577)"
169193896,1803564168,1803564177,115.14439181949635,1,4,4,2,2,"LINESTRING(124.2383880 13.5863577, 124.2387374 13.5866112, 124.2388554 13.5867051, 124.2390083 13.5868289, 124.2392059 13.5870171)"
169193896,1803564177,880107365,122.17182599356676,1,4,4,2,2,"LINESTRING(124.2392059 13.5870171, 124.2396346 13.5873547, 124.2400826 13.5877087)"
169193897,1803563760,1803563758,70.8204584911855,1,1,1,2,2,"LINESTRING(124.2049606 13.5490453, 124.2048883 13.5484130)"
169193897,1803563758,1803563755,125.73629022214166,1,1,1,2,2,"LINESTRING(124.2048883 13.5484130, 124.2047214 13.5472952)"
169193897,1803563755,1803563752,64.98197281133238,1,1,1,2,2,"LINESTRING(124.2047214 13.5472952, 124.2046331 13.5467178)"
169193897,1803563752,1803563741,502.7075846839961,1,1,1,2,2,"LINESTRING(124.2046331 13.5467178, 124.2044802 13.5457954, 124.2043588 13.5448275, 124.2042406 13.5435197, 124.2042152 13.5430968, 124.2042195 13.5427142, 124.2043555 13.5422450)"
169193898,1803564193,880107334,134.51685077781713,1,2,2,2,2,"LINESTRING(124.2328736 13.5885027, 124.2328405 13.5883231, 124.2328917 13.5881829, 124.2333081 13.5874047)"
169193898,880107334,1803564158,208.37374472404707,1,2,2,2,2,"LINESTRING(124.2333081 13.5874047, 124.2336030 13.5869867, 124.2338603 13.5865870, 124.2343322 13.5858202)"
169193898,1803564158,1803564149,85.73658505405822,1,2,2,2,2,"LINESTRING(124.2343322 13.5858202, 124.2346672 13.5852747, 124.2347450 13.5851630)"
169193898,1803564149,1803564137,92.29253900303036,1,2,2,2,2,"LINESTRING(124.2347450 13.5851630, 124.2349390 13.5848926, 124.2352154 13.5844716)"
169193898,1803564137,2502553396,52.28768356397035,1,2,2,2,2,"LINESTRING(124.2352154 13.5844716, 124.2354799 13.5840785)"
169193898,2502553396,1803565499,38.90839662776923,1,2,2,2,2,"LINESTRING(124.2354799 13.5840785, 124.2356936 13.5837974)"
169193898,1803565499,1803564114,65.28776640994782,1,2,2,2,2,"LINESTRING(124.2356936 13.5837974, 124.2360318 13.5833117)"
169193898,1803564114,1803564100,68.46502784065478,1,2,2,2,2,"LINESTRING(124.2360318 13.5833117, 124.2361896 13.5830851, 124.2362602 13.5829576, 124.2363382 13.5827762)"
